Date,Location,Crime_Type,Severity
2023-01-01,Downtown,Theft,Low
2023-01-01,Downtown,Drug Offense,Medium
2023-01-01,Downtown,Theft,Low
2023-01-01,Downtown,Burglary,Medium
2023-01-01,Downtown,Burglary,Low
2023-01-01,Suburb,Theft,Low
2023-01-01,Suburb,Vandalism,High
2023-01-01,Suburb,Theft,Low
2023-01-01,Suburb,Vandalism,Medium
2023-01-01,Industrial Area,Burglary,High
2023-01-01,Industrial Area,Vandalism,Medium
2023-01-01,Residential Zone,Burglary,Medium
2023-01-01,City Center,Assault,Low
2023-01-01,City Center,Vandalism,Low
2023-01-01,City Center,Burglary,Medium
2023-01-02,Downtown,Vandalism,Medium
2023-01-02,Downtown,Vandalism,Low
2023-01-02,Downtown,Drug Offense,Low
2023-01-02,Suburb,Drug Offense,Low
2023-01-02,Suburb,Assault,Medium
2023-01-02,Suburb,Vandalism,Low
2023-01-02,Suburb,Theft,Low
2023-01-02,Suburb,Theft,Medium
2023-01-02,Industrial Area,Drug Offense,Medium
2023-01-02,Industrial Area,Theft,Medium
2023-01-02,Industrial Area,Theft,Low
2023-01-02,Industrial Area,Theft,Medium
2023-01-02,Industrial Area,Burglary,Low
2023-01-02,Industrial Area,Theft,Medium
2023-01-02,Industrial Area,Burglary,Low
2023-01-02,Residential Zone,Assault,Low
2023-01-02,City Center,Theft,Medium
2023-01-02,City Center,Vandalism,High
2023-01-02,City Center,Drug Offense,Low
2023-01-02,City Center,Drug Offense,High
2023-01-02,City Center,Vandalism,Low
2023-01-02,City Center,Vandalism,High
2023-01-03,Downtown,Assault,High
2023-01-03,Downtown,Assault,Low
2023-01-03,Downtown,Theft,Low
2023-01-03,Downtown,Drug Offense,Medium
2023-01-03,Downtown,Burglary,Low
2023-01-03,Suburb,Assault,Low
2023-01-03,Suburb,Assault,Low
2023-01-03,Suburb,Burglary,Medium
2023-01-03,Suburb,Drug Offense,Low
2023-01-03,Suburb,Assault,Low
2023-01-03,Suburb,Burglary,Medium
2023-01-03,Suburb,Burglary,High
2023-01-03,Suburb,Vandalism,Low
2023-01-03,Industrial Area,Theft,Low
2023-01-03,Industrial Area,Drug Offense,High
2023-01-03,Industrial Area,Vandalism,Medium
2023-01-03,Industrial Area,Theft,Medium
2023-01-03,Industrial Area,Theft,Low
2023-01-03,Industrial Area,Vandalism,High
2023-01-03,Industrial Area,Burglary,High
2023-01-03,Industrial Area,Theft,Low
2023-01-03,Residential Zone,Burglary,High
2023-01-03,Residential Zone,Vandalism,Medium
2023-01-03,Residential Zone,Theft,Low
2023-01-03,Residential Zone,Assault,Low
2023-01-03,Residential Zone,Theft,High
2023-01-03,Residential Zone,Assault,Medium
2023-01-03,Residential Zone,Theft,High
2023-01-03,City Center,Theft,Medium
2023-01-03,City Center,Assault,Low
2023-01-03,City Center,Vandalism,Low
2023-01-03,City Center,Drug Offense,Low
2023-01-03,City Center,Theft,Medium
2023-01-03,City Center,Assault,Medium
2023-01-03,City Center,Theft,Low
2023-01-03,City Center,Drug Offense,Low
2023-01-04,Downtown,Vandalism,Low
2023-01-04,Downtown,Assault,Low
2023-01-04,Downtown,Vandalism,High
2023-01-04,Downtown,Drug Offense,Low
2023-01-04,Downtown,Theft,Medium
2023-01-04,Downtown,Drug Offense,High
2023-01-04,Downtown,Assault,Medium
2023-01-04,Suburb,Assault,Low
2023-01-04,Suburb,Burglary,Medium
2023-01-04,Suburb,Burglary,High
2023-01-04,Suburb,Burglary,Medium
2023-01-04,Industrial Area,Burglary,High
2023-01-04,Industrial Area,Assault,Medium
2023-01-04,Industrial Area,Vandalism,Medium
2023-01-04,Industrial Area,Assault,Medium
2023-01-04,Industrial Area,Vandalism,Medium
2023-01-04,Industrial Area,Vandalism,High
2023-01-04,Industrial Area,Vandalism,Medium
2023-01-04,Industrial Area,Theft,Low
2023-01-04,Residential Zone,Vandalism,Low
2023-01-04,Residential Zone,Theft,Low
2023-01-04,Residential Zone,Assault,High
2023-01-04,City Center,Vandalism,Low
2023-01-04,City Center,Burglary,Medium
2023-01-04,City Center,Theft,Medium
2023-01-04,City Center,Theft,Low
2023-01-04,City Center,Burglary,Low
2023-01-04,City Center,Drug Offense,Low
2023-01-05,Downtown,Assault,Medium
2023-01-05,Downtown,Drug Offense,Medium
2023-01-05,Downtown,Drug Offense,Medium
2023-01-05,Downtown,Drug Offense,Medium
2023-01-05,Downtown,Theft,Low
2023-01-05,Suburb,Vandalism,Low
2023-01-05,Suburb,Assault,Low
2023-01-05,Industrial Area,Burglary,Low
2023-01-05,Industrial Area,Vandalism,Low
2023-01-05,Residential Zone,Burglary,Medium
2023-01-05,Residential Zone,Burglary,Medium
2023-01-05,Residential Zone,Drug Offense,Medium
2023-01-05,Residential Zone,Burglary,Low
2023-01-05,City Center,Vandalism,Low
2023-01-05,City Center,Vandalism,Low
2023-01-05,City Center,Burglary,Low
2023-01-05,City Center,Burglary,Medium
2023-01-05,City Center,Assault,Medium
